Word,Count
f,1
g,1
j,1
bom,14
bompa,8
ship,2
chop,2
skip,2
rope,2
red,7
pink,1
orange,1
flattop,1
grooving,1
juju,1
eyeball,1
holy,1
roller,1
wear,4
shoeshine,1
toejam,1
football,1
cocacola,1
gumboot,1
ono,1
sideboard,1
spinal,1
cracker,1
armchair,1
disease,1
rollercoaster,1
warnin,1
muddy,1
water,1
mojo,1
filter,1
goodlookin,1
joan,1
quizzical,1
studied,1
pataphysical,1
science,1
nights,1
test,1
tube,1
maxwell,4
edison,1
majoring,1
medicine,1
joaoaoaoan,1
maxwells,6
hammer,7
clang,6
plays,2
teacher,1
annoyed,1
avoid,1
unpleasant,1
sceeeene,1
max,1
class,1
fifty,2
o,3
creeps,1
p,1
testimonial,1
rose,1
valerie,1
screaming,1
gallery,1
judge,1
agree,2
soooo,1
noise,1
whoaoa,1
darling,9
anymore,4
heavy,8
ahahah,2
ahahahahahah,1
ahahahahah,1
negotiations,1
investigation,1
college,1
spent,1
future,1
moneys,1
jobber,1
sack,2
monday,3
lorry,2
slow,1
bags,2
limousine,1
gas,1
wipe,1
tear,1
heaven,10
laughing,2
quando,1
para,1
mucho,2
mi,2
amore,2
de,1
felice,1
corazn,1
mundo,1
paparazzi,1
chicka,1
ferdy,1
parasol,1
questo,1
obrigado,1
tanta,1
que,1
canite,1
carousel,1
mustard,1
sleeps,2
park,1
saving,2
clothes,3
tenbob,1
nose,1
pam,3
shop,1
gogetter,1
shouts,1
obscene,1
polythene,3
goodlooking,1
drag,2
dressed,2
dose,1
jackboots,1
kilt,1
killerdiller,1
hilt,1
news,2
attractively,1
great,1
heh,3
bathroom,1
protected,1
spoon,1
sucks,1
thumb,1
wanders,1
banks,1
lagoon,1
sundays,2
tuesdays,2
shed,1
fifteen,1
clubs,1
quit,1
police,1
department,1
steal,1
rob,1
homeward,2
slumbers,1
awake,1
carry,9
weight,8
pillow,1
invitations,1
celebrations,1
equal,1
majestys,3
nice,3
changes,1
belly,1
dig,9
pygmy,1
charles,1
hawtrey,1
deaf,1
aids,1
phase,1
doris,2
oats,1
spending,1
someones,1
earned,1
postcards,1
burning,2
matches,1
lifting,1
latches,1
memories,2
stretches,2
raincoats,2
solo,2
chasing,2
pony,1
celebrate,2
hog,1
penetrate,2
radiate,2
stoney,1
imitate,2
blow,1
load,1
syndicate,2
flowing,1
endless,1
slither,1
wildly,1
slip,2
pools,1
drifting,1
possessing,1
caressing,1
jai,9
guru,9
deva,9
om,3
nothings,12
images,1
meander,1
restless,1
box,1
tumble,1
blindly,1
sounds,1
laughter,1
shades,1
inciting,1
inviting,1
limitless,1
undying,1
shines,11
suns,1
rolling,3
stone,3
fbi,1
cia,1
bbc,1
bb,1
matt,1
busby,1
georgie,1
hark,1
angels,1
trouble,1
mary,2
wisdom,7
hour,1
darkness,1
front,1
brokenhearted,1
parted,1
chance,2
cloudy,1
traveling,12
move,11
cold,4
ice,4
begged,2
fooling,5
railman,2
location,2
savanna,1
calling,1
winding,3
leads,2
wild,1
washed,1
pool,1
rosetta,3
loretta,2
fart,1
cleaner,1
frying,1
pan,1
martin,2
picker,2
jo,6
loner,1
tucson,1
arizona,1
california,1
belonged,8
thanks,1
mo,1
behalf,1
group,1
passed,1
audition,1
blame,1
unfair,1
weep,3
presents,6
peasant,3
hates,1
understands,2
color,3
wore,2
whats,2
scarlet,1
planned,1
side,2
spite,2
throws,1
upside,2
heads,1
shade,1
sip,1
lemonade,1
weathers,2
starts,1
everythings,1
rains,3
sdaeh,1
rieht,1
edih,1
dna,1
nur,1
yeht,1
semoc,1
niar,3
eht,1
fi,1
enihsnus,1
manage,3
finds,1
sent,1
arrives,1
suitcase,1
creeping,1
nun,1
mondays,1
tie,1
bootlace,1
breast,1
afternoon,1
ending,1
papers,1
thursday,1
stockings,1
doin,1
carryin,1
jude,43
afraid,1
minute,1
skin,2
begin,3
anytime,1
refrain,1
shoulders,1
colder,1
nanananana,3
nananana,19
perform,1
movement,1
fucking,1
yeahyeahyeahyeahyeahyeah,1
nanananananana,16
judy,5
owwow,1
nanana,1
nana,1
nananananananananananana,1
yeahyeahyeahyeah,1
ya,1
mamamamamamamama,1
lasts,1
seeking,1
dock,1
southampton,1
holland,1
france,1
christ,5
crucify,6
plane,2
paris,2
honeymooning,1
seine,1
peter,1
married,1
gibraltar,1
spain,1
drove,1
amsterdam,1
hilton,1
beds,1
rainy,1
charity,1
lightning,1
vienna,1
eating,1
chocolate,1
cake,1
gurus,1
london,1
acorns,1
press,1
wish,1
success,1
welcome,1
slaggers,1
featuring,1
denis,4
obell,2
ringo,1
ba,12
pum,1
youa,2
prrr,1
